epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8839,0.86861,1.69919,1.23998,0.6505,0.63868,0.68159,0.56385,0.62588,1.28795,0.94667,0.0033283,0.0033283,0.0033283
2,155.816,0.75558,1.15437,1.13701,0.63111,0.69486,0.70675,0.56836,0.71871,1.2139,0.99267,0.00659568,0.00659568,0.00659568
3,228.385,0.81553,1.14289,1.15906,0.64825,0.66589,0.70738,0.54527,0.80903,1.11762,1.03681,0.00979706,0.00979706,0.00979706
4,302.053,0.84529,1.13552,1.17579,0.62566,0.63752,0.66956,0.52166,0.77672,1.20703,1.04357,0.009703,0.009703,0.009703
5,374.611,0.80347,1.08178,1.15942,0.62971,0.67379,0.708,0.55799,0.75078,1.08637,1.03652,0.009604,0.009604,0.009604
6,454.345,0.7692,1.04234,1.14809,0.66954,0.69733,0.7584,0.61161,0.71088,1.01072,1.01331,0.009505,0.009505,0.009505
7,526.445,0.74275,1.01706,1.13519,0.71082,0.70668,0.77621,0.63542,0.66901,0.97917,0.98212,0.009406,0.009406,0.009406
8,596.85,0.72356,0.99225,1.12801,0.65663,0.72147,0.75703,0.62104,0.66477,1.04359,0.97054,0.009307,0.009307,0.009307
9,664.022,0.70756,0.97853,1.12011,0.67193,0.68717,0.75201,0.5983,0.70348,1.04726,1.03176,0.009208,0.009208,0.009208
10,734.007,0.69434,0.95779,1.11623,0.66541,0.71271,0.74598,0.62054,0.63555,0.97255,0.95859,0.009109,0.009109,0.009109
11,808.849,0.68311,0.94165,1.10803,0.68449,0.70491,0.76063,0.64795,0.58487,0.93902,0.93298,0.00901,0.00901,0.00901
12,893.132,0.67257,0.93843,1.10449,0.72223,0.72265,0.80446,0.68372,0.59536,0.88041,0.93772,0.008911,0.008911,0.008911
13,970.47,0.66635,0.92155,1.10246,0.7491,0.70905,0.80817,0.68441,0.59756,0.85486,0.93825,0.008812,0.008812,0.008812
14,1047.85,0.66006,0.91315,1.09942,0.72833,0.72769,0.80547,0.68691,0.57086,0.85553,0.9149,0.008713,0.008713,0.008713
15,1126.36,0.64894,0.91355,1.09479,0.69941,0.75813,0.80798,0.69254,0.56779,0.85438,0.9165,0.008614,0.008614,0.008614
16,1200.16,0.64277,0.90382,1.09231,0.73024,0.73566,0.81173,0.69428,0.55471,0.83473,0.91417,0.008515,0.008515,0.008515
17,1267.99,0.63493,0.89113,1.08718,0.71966,0.74276,0.81635,0.69064,0.5831,0.86759,0.93413,0.008416,0.008416,0.008416
18,1336.12,0.63633,0.88955,1.08994,0.72183,0.71664,0.80396,0.68624,0.57483,0.8905,0.92308,0.008317,0.008317,0.008317
19,1405.14,0.62962,0.88851,1.08677,0.71957,0.712,0.78933,0.66883,0.58811,0.90051,0.94014,0.008218,0.008218,0.008218
20,1477.9,0.62357,0.87427,1.08135,0.72775,0.75087,0.82739,0.71796,0.53459,0.8186,0.90863,0.008119,0.008119,0.008119
21,1555.45,0.61447,0.8613,1.07812,0.74639,0.75399,0.83114,0.7171,0.54534,0.82318,0.90291,0.00802,0.00802,0.00802
22,1633.59,0.61489,0.86626,1.07684,0.74735,0.73211,0.82596,0.71961,0.53922,0.81208,0.90497,0.007921,0.007921,0.007921
23,1701.64,0.60997,0.8566,1.07562,0.71073,0.7534,0.81742,0.70756,0.54757,0.86413,0.90577,0.007822,0.007822,0.007822
24,1769.53,0.60423,0.84952,1.0705,0.7273,0.7605,0.82231,0.71838,0.52854,0.81758,0.89503,0.007723,0.007723,0.007723
25,1837.73,0.6022,0.84953,1.07004,0.75781,0.73091,0.82216,0.7228,0.51903,0.82861,0.89487,0.007624,0.007624,0.007624
26,1905.84,0.59715,0.84502,1.07061,0.72668,0.75785,0.832,0.72966,0.51339,0.7908,0.88919,0.007525,0.007525,0.007525
27,1975.27,0.59317,0.84194,1.06454,0.73869,0.75163,0.835,0.72559,0.52408,0.79066,0.89579,0.007426,0.007426,0.007426
28,2039.68,0.59001,0.83073,1.06489,0.74603,0.74349,0.82757,0.71382,0.53068,0.80923,0.90227,0.007327,0.007327,0.007327
29,2104.15,0.58922,0.82846,1.06596,0.72734,0.74926,0.82131,0.7215,0.50965,0.8251,0.88584,0.007228,0.007228,0.007228
30,2168.49,0.58639,0.82624,1.06187,0.74452,0.75695,0.83168,0.72942,0.50975,0.79395,0.89034,0.007129,0.007129,0.007129
31,2232.76,0.58228,0.82458,1.0595,0.73066,0.77326,0.82984,0.72899,0.51652,0.7935,0.89373,0.00703,0.00703,0.00703
32,2300.88,0.5801,0.82104,1.06142,0.72773,0.767,0.83134,0.73232,0.5104,0.81101,0.8927,0.006931,0.006931,0.006931
33,2365.86,0.57482,0.81135,1.05499,0.74534,0.77055,0.83731,0.73941,0.5019,0.77603,0.88364,0.006832,0.006832,0.006832
34,2430.59,0.57409,0.81203,1.05615,0.71323,0.75577,0.82151,0.72704,0.50093,0.81927,0.87989,0.006733,0.006733,0.006733
35,2504.6,0.57171,0.80596,1.05391,0.74679,0.75869,0.83939,0.74308,0.49577,0.75403,0.88026,0.006634,0.006634,0.006634
36,2585.69,0.56994,0.80355,1.05334,0.72497,0.76852,0.83558,0.73893,0.50456,0.78143,0.88245,0.006535,0.006535,0.006535
37,2651.35,0.56394,0.80133,1.05024,0.75809,0.75577,0.83423,0.73927,0.49504,0.79233,0.87954,0.006436,0.006436,0.006436
38,2715.87,0.56323,0.79604,1.05089,0.72517,0.77765,0.84038,0.74324,0.50044,0.7579,0.88236,0.006337,0.006337,0.006337
39,2780.76,0.5603,0.79375,1.04915,0.77649,0.75695,0.8464,0.74781,0.49527,0.75911,0.87993,0.006238,0.006238,0.006238
40,2845.65,0.55986,0.79043,1.04817,0.73488,0.75401,0.83118,0.73547,0.49354,0.78462,0.87966,0.006139,0.006139,0.006139
41,2910.15,0.55528,0.7879,1.04894,0.73051,0.76818,0.83212,0.73978,0.48707,0.7919,0.87321,0.00604,0.00604,0.00604
42,2975.12,0.55162,0.78148,1.0451,0.73338,0.77105,0.83543,0.74518,0.48202,0.76613,0.87719,0.005941,0.005941,0.005941
43,3039.83,0.5509,0.77942,1.04425,0.76396,0.7522,0.84769,0.75516,0.47769,0.75004,0.87037,0.005842,0.005842,0.005842
44,3104.19,0.55125,0.77976,1.04486,0.75295,0.767,0.84435,0.75737,0.47207,0.74715,0.8703,0.005743,0.005743,0.005743
45,3169.16,0.54775,0.77595,1.04287,0.72905,0.76345,0.84043,0.75476,0.47635,0.7599,0.86882,0.005644,0.005644,0.005644
46,3234.07,0.54396,0.76967,1.03806,0.71316,0.79542,0.84009,0.75524,0.47129,0.77108,0.86814,0.005545,0.005545,0.005545
47,3298.68,0.5407,0.76396,1.03968,0.7533,0.76227,0.8425,0.74956,0.47708,0.75618,0.87313,0.005446,0.005446,0.005446
48,3363.17,0.53922,0.764,1.03844,0.72647,0.78531,0.84253,0.75601,0.46673,0.7419,0.86547,0.005347,0.005347,0.005347
49,3428.02,0.54246,0.76208,1.03821,0.76412,0.75458,0.84324,0.75721,0.46233,0.73988,0.86244,0.005248,0.005248,0.005248
50,3492.42,0.53772,0.7599,1.03615,0.75852,0.75044,0.84679,0.75888,0.45896,0.73642,0.86008,0.005149,0.005149,0.005149
51,3557.02,0.53739,0.75512,1.03751,0.73838,0.78297,0.8448,0.75721,0.46462,0.74488,0.86513,0.00505,0.00505,0.00505
52,3621.66,0.53589,0.74862,1.03455,0.74967,0.77883,0.84682,0.76054,0.46156,0.73462,0.8621,0.004951,0.004951,0.004951
53,3686.43,0.52989,0.74556,1.03345,0.74504,0.77824,0.84668,0.76334,0.4556,0.73581,0.86229,0.004852,0.004852,0.004852
54,3751.23,0.53057,0.748,1.03304,0.76292,0.76881,0.84997,0.76519,0.45577,0.73098,0.86137,0.004753,0.004753,0.004753
55,3815.65,0.52777,0.74137,1.03158,0.74875,0.78593,0.85065,0.76797,0.4591,0.71945,0.86308,0.004654,0.004654,0.004654
56,3880.14,0.52562,0.73739,1.03015,0.76187,0.76059,0.84763,0.76433,0.46127,0.73069,0.86284,0.004555,0.004555,0.004555
57,3944.97,0.52325,0.73419,1.02953,0.7402,0.78119,0.8464,0.76243,0.45781,0.72706,0.86443,0.004456,0.004456,0.004456
58,4009.48,0.52335,0.73415,1.02916,0.75267,0.77469,0.84699,0.76212,0.45911,0.72701,0.86435,0.004357,0.004357,0.004357
59,4073.78,0.52207,0.72864,1.02735,0.75608,0.76523,0.84778,0.76229,0.45534,0.73558,0.86058,0.004258,0.004258,0.004258
60,4142.42,0.51708,0.7243,1.02649,0.72787,0.79563,0.84514,0.75934,0.46255,0.74137,0.8635,0.004159,0.004159,0.004159
61,4210.78,0.51326,0.71948,1.02465,0.75403,0.76641,0.84588,0.76284,0.46083,0.74238,0.86368,0.00406,0.00406,0.00406
62,4276.98,0.51147,0.71451,1.02233,0.75652,0.75813,0.84503,0.76258,0.45784,0.7394,0.86385,0.003961,0.003961,0.003961
63,4341.16,0.51617,0.71778,1.02446,0.7399,0.77765,0.84599,0.76076,0.45691,0.73417,0.86245,0.003862,0.003862,0.003862
64,4405.22,0.50905,0.70872,1.02357,0.74818,0.77484,0.8507,0.7679,0.45245,0.72223,0.85898,0.003763,0.003763,0.003763
65,4469.31,0.50742,0.70789,1.01902,0.7274,0.81609,0.85106,0.76796,0.45084,0.71631,0.8591,0.003664,0.003664,0.003664
66,4533.76,0.5117,0.70876,1.02415,0.75085,0.78414,0.84853,0.76513,0.44935,0.72428,0.85769,0.003565,0.003565,0.003565
67,4598.67,0.50391,0.70044,1.02003,0.74474,0.78474,0.84777,0.76653,0.44864,0.73104,0.85659,0.003466,0.003466,0.003466
68,4662.96,0.50388,0.6992,1.02002,0.739,0.78593,0.84709,0.76701,0.45206,0.72967,0.86036,0.003367,0.003367,0.003367
69,4726.93,0.49775,0.69329,1.01807,0.73345,0.79066,0.8477,0.76629,0.45088,0.73043,0.86148,0.003268,0.003268,0.003268
70,4791.29,0.49936,0.69933,1.01872,0.73409,0.79007,0.84832,0.76683,0.45377,0.73578,0.86387,0.003169,0.003169,0.003169
71,4856.15,0.49655,0.69178,1.01689,0.75002,0.77357,0.84853,0.76733,0.45193,0.73171,0.86255,0.00307,0.00307,0.00307
72,4925.71,0.49611,0.68621,1.01515,0.73906,0.78829,0.84818,0.7673,0.44913,0.733,0.86136,0.002971,0.002971,0.002971
